CID	AcctType	Revenue	Date
INZ56595	Checking	10000	18-Nov-17
INZ56597	Checking	12000	21-Nov-17
INZ56599	Savings	12000	12-Nov-17
INZ56601	Checking	10000	28-Nov-17
INZ56603	CD	12000	24-Nov-17
INZ56605	CD	10000	10-Nov-17
INZ56607	Checking	10000	16-Nov-17
INZ56609	Savings	10000	1-Nov-17
INZ56611	CD	12000	24-Nov-17
INZ56613	Checking	12000	10-Nov-17
INZ56615	Checking	12000	28-Nov-17
INZ56617	Checking	10000	5-Nov-17
INZ56619	Checking	10000	29-Nov-17
INZ56621	Checking	10000	30-Nov-17
INZ56623	CD	12000	25-Nov-17
INZ56625	Checking	12000	11-Nov-17
INZ56627	Checking	10000	20-Nov-17
INZ56629	CD	10000	18-Nov-17
INZ56631	Checking	10000	23-Nov-17
INZ56633	Savings	10000	10-Nov-17
INZ56635	Savings	10000	22-Nov-17
INZ56637	Checking	10000	28-Nov-17
INZ56639	Checking	10000	14-Nov-17
INZ56641	Savings	12000	29-Nov-17
INZ56643	Savings	10000	18-Nov-17
INZ56645	Checking	15000	31-Nov-17
INZ56647	Checking	12000	29-Nov-17
INZ56649	Checking	10000	29-Nov-17
INZ56651	Savings	12000	28-Nov-17
INZ56653	Checking	10000	17-Nov-17
INZ56655	CD	12000	15-Nov-17
INZ56657	Checking	12000	29-Nov-17
INZ56659	CD	12000	13-Nov-17
INZ56661	Checking	15000	13-Nov-17
INZ56663	CD	15000	9-Nov-17
INZ56665	Savings	10000	3-Nov-17
INZ56667	Savings	10000	1-Nov-17
INZ56669	Savings	12000	3-Nov-17
INZ56671	Savings	10000	9-Nov-17
INZ56565	IRA	10000	23-Nov-17
INZ56567	CD	10000	5-Nov-17
INZ56569	Checking	10000	22-Nov-17
INZ56571	CD	10000	8-Nov-17
INZ56573	Savings	12000	14-Nov-17
INZ56575	Savings	15000	7-Nov-17
INZ56577	Savings	12000	17-Nov-17
INZ56579	Savings	15000	10-Nov-17
INZ56581	CD	15000	17-Nov-17
INZ56583	CD	15000	17-Nov-17
INZ56585	Savings	12000	6-Nov-17
INZ56587	Savings	15000	6-Nov-17
INZ56589	Checking	15000	25-Nov-17
INZ56591	Savings	10000	3-Nov-17
INZ56593	Checking	12000	2-Nov-17
INZ56595	Checking	10000	18-Nov-17
INZ56597	Checking	12000	21-Nov-17
INZ56599	Savings	12000	12-Nov-17
INZ56601	Checking	10000	28-Nov-17
INZ56603	CD	12000	24-Nov-17
INZ56605	CD	10000	10-Nov-17
INZ56607	Checking	10000	16-Nov-17
INZ56609	Savings	10000	1-Nov-17
INZ56611	CD	12000	24-Nov-17
INZ56613	Checking	12000	10-Nov-17
INZ56615	Checking	12000	28-Nov-17
INZ56617	Checking	10000	5-Nov-17
INZ56619	Checking	10000	29-Nov-17
INZ56621	Checking	10000	30-Nov-17
INZ56623	CD	12000	25-Nov-17
INZ56625	Checking	12000	11-Nov-17
INZ56627	Checking	10000	20-Nov-17
INZ56629	CD	10000	18-Nov-17
INZ56631	Checking	10000	23-Nov-17
INZ56633	Savings	10000	10-Nov-17
INZ56635	Savings	10000	22-Nov-17
INZ56637	Checking	10000	28-Nov-17
INZ56639	Checking	10000	14-Nov-17
INZ56641	Savings	12000	29-Nov-17
INZ56643	Savings	10000	18-Nov-17
INZ56645	Checking	15000	31-Nov-17
INZ56647	Checking	12000	29-Nov-17
INZ56649	Checking	10000	29-Nov-17
INZ56651	Savings	12000	28-Nov-17
INZ56653	Checking	10000	17-Nov-17
INZ56655	CD	12000	15-Nov-17
INZ56657	Checking	12000	29-Nov-17
INZ56659	CD	12000	13-Nov-17
INZ56661	Checking	15000	13-Nov-17
INZ56663	CD	15000	9-Nov-17
INZ56665	Savings	10000	3-Nov-17
INZ56667	Savings	10000	1-Nov-17
INZ56669	Savings	12000	3-Nov-17
INZ56671	Savings	10000	9-Nov-17
INZ56565	IRA	10000	23-Nov-17
INZ56567	CD	10000	5-Nov-17
INZ56569	Checking	10000	22-Nov-17
INZ56571	CD	10000	8-Nov-17
INZ56573	Savings	12000	14-Nov-17
INZ56575	Savings	15000	7-Nov-17
INZ56577	Savings	12000	17-Nov-17
INZ56579	Savings	15000	10-Nov-17
INZ56581	CD	15000	17-Nov-17
INZ56583	CD	15000	17-Nov-17
INZ56585	Savings	12000	6-Nov-17
INZ56587	Savings	15000	6-Nov-17
INZ56589	Checking	15000	25-Nov-17
INZ56591	Savings	10000	3-Nov-17
INZ56593	Checking	12000	2-Nov-17
INZ56595	Checking	10000	18-Nov-17
INZ56597	Checking	12000	21-Nov-17
INZ56599	Savings	12000	12-Nov-17
INZ56601	Checking	10000	28-Nov-17
INZ56603	CD	12000	24-Nov-17
INZ56605	CD	10000	10-Nov-17
INZ56607	Checking	10000	16-Nov-17
INZ56609	Savings	10000	1-Nov-17
INZ56611	CD	12000	24-Nov-17
INZ56613	Checking	12000	10-Nov-17
INZ56615	Checking	12000	28-Nov-17
INZ56617	Checking	10000	5-Nov-17
INZ56619	Checking	10000	29-Nov-17
INZ56621	Checking	10000	30-Nov-17
INZ56623	CD	12000	25-Nov-17
INZ56625	Checking	12000	11-Nov-17
INZ56627	Checking	10000	20-Nov-17
INZ56629	CD	10000	18-Nov-17
INZ56631	Checking	10000	23-Nov-17
INZ56633	Savings	10000	10-Nov-17
INZ56635	Savings	10000	22-Nov-17
INZ56637	Checking	10000	28-Nov-17
INZ56639	Checking	10000	14-Nov-17
INZ56641	Savings	12000	29-Nov-17
INZ56643	Savings	10000	18-Nov-17
INZ56645	Checking	15000	31-Nov-17
INZ56647	Checking	12000	29-Nov-17
INZ56649	Checking	10000	29-Nov-17
INZ56651	Savings	12000	28-Nov-17
INZ56653	Checking	10000	17-Nov-17
INZ56655	CD	12000	15-Nov-17
INZ56657	Checking	12000	29-Nov-17
INZ56659	CD	12000	13-Nov-17
INZ56661	Checking	15000	13-Nov-17
INZ56663	CD	15000	9-Nov-17
INZ56665	Savings	10000	3-Nov-17
INZ56667	Savings	10000	1-Nov-17
INZ56669	Savings	12000	3-Nov-17
INZ56671	Savings	10000	9-Nov-17
